nama_variabel;nama_variabel_turunan;nama_tahun;nama_turunan_tahun;data_content;nama_item_vertical_variabel
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";293697;ACEH
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";261677;"SUMATERA UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";288410;"SUMATERA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";280361;RIAU
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";297507;JAMBI
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";263734;"SUMATERA SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";288387;BENGKULU
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";260892;LAMPUNG
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";330178;"KEP. BANGKA BELITUNG"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";298998;"KEP. RIAU"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";319595;"DKI JAKARTA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";213479;"JAWA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";210932;"JAWA TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";238042;"DI YOGYAKARTA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";216139;"JAWA TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";235211;BANTEN
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";226679;BALI
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";238797;"NUSA TENGGARA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";260406;"NUSA TENGGARA TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";250029;"KALIMANTAN BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";251976;"KALIMANTAN TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";229677;"KALIMANTAN SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";337970;"KALIMANTAN TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";342729;"KALIMANTAN UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";217995;"SULAWESI UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";249419;"SULAWESI TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";181842;"SULAWESI SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";190438;"SULAWESI TENGGARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";191995;GORONTALO
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";204476;"SULAWESI BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";293811;MALUKU
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";279379;"MALUKU UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";328107;"PAPUA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";289615;PAPUA
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 1 (Maret)";238278;INDONESIA
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";302128;ACEH
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";273271;"SUMATERA UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";301356;"SUMATERA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";288956;RIAU
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";308379;JAMBI
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";272915;"SUMATERA SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";313872;BENGKULU
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";274255;LAMPUNG
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";362214;"KEP. BANGKA BELITUNG"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";318580;"KEP. RIAU"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";327678;"DKI JAKARTA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";223843;"JAWA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";218935;"JAWA TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";249320;"DI YOGYAKARTA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";222168;"JAWA TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";248503;BANTEN
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";231680;BALI
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";244162;"NUSA TENGGARA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";265296;"NUSA TENGGARA TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";259948;"KALIMANTAN BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";256020;"KALIMANTAN TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";235422;"KALIMANTAN SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";348480;"KALIMANTAN TIMUR"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";355117;"KALIMANTAN UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";224280;"SULAWESI UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";264458;"SULAWESI TENGAH"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";186893;"SULAWESI SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";200424;"SULAWESI TENGGARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";201515;GORONTALO
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";212226;"SULAWESI BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";294604;MALUKU
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";292989;"MALUKU UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";346945;"PAPUA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";290712;PAPUA
"Garis Kemiskinan Makanan Menurut Provinsi";Perkotaan;2015;"Semester 2 (September)";247840;INDONESIA
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";297479;ACEH
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";266143;"SUMATERA UTARA"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";293768;"SUMATERA BARAT"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";302422;RIAU
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";247652;JAMBI
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";243702;"SUMATERA SELATAN"
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";303059;BENGKULU
"Garis Kemiskinan Makanan Menurut Provinsi";Perdesaan;2015;"Semester 1 (Maret)";251365;LAMPUNG
